Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Equatorial Guinea,GNQ,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-687760
Equatorial Guinea,GNQ,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,225183210
Equatorial Guinea,GNQ,2020,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,16501440
Equatorial Guinea,GNQ,2019,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,166025210
Equatorial Guinea,GNQ,2018,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-208841010
Equatorial Guinea,GNQ,2017,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-26873020
Equatorial Guinea,GNQ,2016,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,27659200
Equatorial Guinea,GNQ,2015,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1266380
Equatorial Guinea,GNQ,1989,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Equatorial Guinea,GNQ,1988,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Equatorial Guinea,GNQ,1987,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Equatorial Guinea,GNQ,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.00502467793842411
Equatorial Guinea,GNQ,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.84336491733884
Equatorial Guinea,GNQ,2020,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.166785393897472
Equatorial Guinea,GNQ,2019,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.4609579276168
Equatorial Guinea,GNQ,2018,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-1.59456987494094
Equatorial Guinea,GNQ,2017,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.220254156914356
Equatorial Guinea,GNQ,2016,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.246060584912422
Equatorial Guinea,GNQ,2015,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00960434037054116
Equatorial Guinea,GNQ,1989,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0
Equatorial Guinea,GNQ,1988,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0
Equatorial Guinea,GNQ,1987,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0
Equatorial Guinea,GNQ,1994,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,331409.300821377
Equatorial Guinea,GNQ,1996,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-376180404.220707
Equatorial Guinea,GNQ,1995,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-126924170.672485
Equatorial Guinea,GNQ,1994,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-16995533.4921224
Equatorial Guinea,GNQ,1993,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-22301675.6350731
