Country Name,Year,Indicator Name,Value
Equatorial Guinea,2019,Liquid liabilities to GDP (%),12.41293
Equatorial Guinea,2018,Liquid liabilities to GDP (%),12.30639
Equatorial Guinea,2017,Liquid liabilities to GDP (%),12.72682
Equatorial Guinea,2016,Liquid liabilities to GDP (%),14.2751
Equatorial Guinea,2015,Liquid liabilities to GDP (%),15.44997
Equatorial Guinea,2014,Liquid liabilities to GDP (%),12.05343
Equatorial Guinea,2013,Liquid liabilities to GDP (%),14.20054
Equatorial Guinea,2012,Liquid liabilities to GDP (%),12.67801
Equatorial Guinea,2011,Liquid liabilities to GDP (%),10.9127
Equatorial Guinea,2010,Liquid liabilities to GDP (%),12.82288
Equatorial Guinea,2009,Liquid liabilities to GDP (%),9.799519
Equatorial Guinea,2008,Liquid liabilities to GDP (%),6.618902
Equatorial Guinea,2007,Liquid liabilities to GDP (%),7.18162
Equatorial Guinea,2006,Liquid liabilities to GDP (%),6.039362
Equatorial Guinea,2005,Liquid liabilities to GDP (%),6.438123
Equatorial Guinea,2004,Liquid liabilities to GDP (%),8.891184
Equatorial Guinea,2003,Liquid liabilities to GDP (%),10.74983
Equatorial Guinea,2002,Liquid liabilities to GDP (%),7.868236
Equatorial Guinea,2001,Liquid liabilities to GDP (%),6.043296
Equatorial Guinea,2000,Liquid liabilities to GDP (%),6.432835
Equatorial Guinea,1999,Liquid liabilities to GDP (%),9.194562
Equatorial Guinea,1998,Liquid liabilities to GDP (%),9.533681
Equatorial Guinea,1997,Liquid liabilities to GDP (%),6.988173
Equatorial Guinea,1996,Liquid liabilities to GDP (%),13.88027
Equatorial Guinea,1995,Liquid liabilities to GDP (%),16.32633
Equatorial Guinea,1994,Liquid liabilities to GDP (%),13.86672
Equatorial Guinea,1993,Liquid liabilities to GDP (%),8.410413
Equatorial Guinea,1992,Liquid liabilities to GDP (%),12.19153
Equatorial Guinea,1991,Liquid liabilities to GDP (%),10.66565
Equatorial Guinea,1990,Liquid liabilities to GDP (%),12.3992
Equatorial Guinea,1989,Liquid liabilities to GDP (%),27.99601
Equatorial Guinea,1988,Liquid liabilities to GDP (%),18.70821
Equatorial Guinea,1987,Liquid liabilities to GDP (%),33.62819
Equatorial Guinea,1986,Liquid liabilities to GDP (%),39.81432
Equatorial Guinea,1985,Liquid liabilities to GDP (%),32.14898
Equatorial Guinea,2019,Central bank assets to GDP (%),9.501668
